X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.212985508456,47.4784150134904,196,688,12194,660,St. Anthony Elementary School,St. Anthony,336 Shattuck Ave S,98057,-122.21298784,47.47841298,20,RENTON,7841300035,784130,0035,School-Elementary,0
-122.308728491252,47.2988583790907,197,1348,871083,666,Christian Faith School,Christian Faith,33645 20th Ave S,98003,-122.30873183,47.29885655,20,FEDERAL WAY,2121049004,212104,9004,School-K-12,0
-122.354995794386,47.2975736220633,198,2201,841929,661,Technology Access Foundation Academy at Saghalie,TAFA at Saghalie,33914 19th Ave SW,98023,-122.35499914,47.29757189,10,FEDERAL WAY,1921049033,192104,9033,School-Junior High/Middle,4456
-122.288664766611,47.6229127774013,199,951,838011,666,Bush School,Bush,3400 E Harrison St,98112,-122.28866644,47.6229109,20,SEATTLE,6600000120,660000,0120,School-K-12,0
-122.375636109828,47.5388727915861,200,1116,493520,660,Our Lady of Guadalupe Catholic School,Our Lady of Guadalupe,3401 SW Myrtle St,98126,-122.37563816,47.53887101,20,SEATTLE,8123100005,812310,0005,School-Elementary,0
-122.288400796002,47.2779400856096,201,6600140,636214,661,Sequoyah Middle School,Sequoyah,3425 S 360th St  ,98001,-122.28840425,47.27793822,10,FEDERAL WAY,2721049012,272104,9012,School-Junior High/Middle,5029
-122.390281254885,47.5729816334003,202,996,459130,661,James Madison Middle School,James Madison,3429 45th Ave SW,98116,-122.39028315,47.57297989,10,SEATTLE,9278300010,927830,0010,School-Junior High/Middle,2435
-122.333389641307,47.2935627908005,203,93,2390,660,Panther Lake Elementary School,Panther Lake,34424 1st Ave S,98003,-122.33339301,47.29356102,10,FEDERAL WAY,2021049110,202104,9110,School-Elementary,3329
-122.322006078044,47.2912234807247,204,6600546,711102,664,Federal Way Public Academy,Federal Way Public Academy,34620 9th Ave S,98003,-122.32200946,47.29122168,10,FEDERAL WAY,9264800050,926480,0050,School-Alternative,1789
-122.181062876355,47.2896210662244,205,36,58,660,Chinook Elementary School,Chinook,3502 Auburn Way S,98092,-122.18106626,47.28961897,10,AUBURN,2121059038,212105,9038,School-Elementary,3439
-122.341086889421,47.2872443410036,206,6600525,2392,660,Enterprise Elementary School,Enterprise,35101 5th Ave SW,98023,-122.34109029,47.28724259,10,FEDERAL WAY,4159200704,415920,0704,School-Elementary,4470
-122.289320466785,47.6935815759524,207,971,12394,660,Our Lady of the Lake School,Our Lady of the Lake,3520 NE 89th St,98115,-122.28932183,47.69357971,20,SEATTLE,6844701005,684470,1005,School-Elementary,0
-122.293389719087,47.2804312777062,208,13,634289,660,Lakeland Elementary School,Lakeland,35827 32nd Ave S,98001,-122.29339316,47.28042943,10,FEDERAL WAY,2821049095,282104,9095,School-Elementary,2841
-122.314374950138,47.2774712228715,209,2289,842738,662,Todd Beamer High School,Todd Beamer,35999 16th Ave S,98003,-122.31437841,47.27746942,10,FEDERAL WAY,2921049025,292104,9025,School-High,4570
-122.378171186858,47.2998698675273,210,316,2386,660,Brigadoon Elementary School,Brigadoon,3601 SW 336th St,98023,-122.37817452,47.29986818,10,FEDERAL WAY,2321039003,232103,9003,School-Elementary,3700
-122.286478643639,47.5494419499422,211,6600705,483902,660,Makkah Islamic School,Makkah Islamic,3613 S Juneau St,98118,-122.28648065,47.54944006,20,SEATTLE,2224049009,222404,9009,School-Elementary,
-122.284904524998,47.53073982822,212,1029,512739,660,Wing Luke Elementary School,Wing Luke,3701 S Kenyon St ,98118,-122.28490661,47.53073793,10,SEATTLE,4006000598,400600,0598,School-Elementary,3581
-122.377585812626,47.5097011282493,213,1192,511295,660,Arbor Heights Elementary School,Arbor Heights,3701 SW 104th St,98146,-122.37758799,47.50969933,10,SEATTLE,2518400005,251840,0005,School-Elementary,2730
-122.285208312761,47.4532887577691,214,1326,401620,660,McMicken Heights Elementary School,McMicken Heights,3708 S 168th St,98188,-122.28521079,47.45328686,10,HIGHLINE,2723049028,272304,9028,School-Elementary,2734
-121.914325744688,47.6424236125336,215,273,158,661,Tolt Middle School,Tolt,3740 Tolt Ave,98014,-121.91432707,47.64242113,10,RIVERVIEW,2125079033,212507,9033,School-Junior High/Middle,4318
-122.034189922824,47.5266444529167,216,6600688,996972,664,Gibson Ek,Gibson Ek,379 1st Pl SE,98027,-122.03419193,47.526642,10,ISSAQUAH,3424069028,342406,9028,School-Alternative,
-122.207742587345,47.5766122506117,217,6600714,191175,664,French-American School of Puget Sound,FASPS,3795 E Mercer Way,98040,-122.20774444,47.57661022,20,MERCER ISLAND,2655500115,265550,0115,School-Alternative,
-122.380189329392,47.5525732272573,218,1108,478384,660,Fairmount Park Elementary School,Fairmount Park,3800 SW Findlay St,98126,-122.38019132,47.55257146,10,SEATTLE,9396700035,939670,0035,School-Elementary,3518
-122.163815420902,47.5755471205672,219,6600668,95,664,Puesta Del Sol Elementary,Puesta Del Sol,3810 132nd Ave SE,98006,-122.16381726,47.57554499,10,BELLEVUE,1024059056,102405,9056,School-Alternative,3224
-122.349050466606,47.6547573862667,220,840,12312,660,B.F. Day Elementary School,B.F. Day,3921 Linden Ave N,98103,-122.349052,47.65475562,10,SEATTLE,1931301145,193130,1145,School-Elementary,3717
-122.309937674879,47.6537905530793,221,10000019,13927,664,Ida B. Wells School of Social Justice,Ida B. Wells ,3923 Okanogan Ln NE,98195,-122.30993921,47.65378872,10,SEATTLE,1625049001,162504,9001,School-Alternative,0
-122.281981381773,47.5463214090008,222,1039,486395,661,Aki Kurose Middle School,Aki Kurose,3928 S Graham St,98118,-122.2819834,47.54631951,10,SEATTLE,3332501090,333250,1090,School-Junior High/Middle,3774
-121.810231070148,47.5233019744638,223,759,21152,660,Snoqualmie Elementary School,Snoqualamie,39801 SE Park St,98065,-121.81023275,47.52329927,10,SNOQUALMIE VALLEY,3224089084,322408,9084,School-Elementary,2288
-122.030799345757,47.6134041041537,224,6600693,12220,664,Renaissance School of Art and Reasoning,Renaissance,400 228th Ave NE,98074,-122.03080092,47.61340173,10,LAKE WASHINGTON,3425069021,342506,9021,School-Alternative,
-122.301826638183,47.6051291837793,225,1064,762595,662,James A. Garfield High School,Garfield,400 23rd Ave,98122,-122.30182839,47.60512732,10,SEATTLE,6840701230,684070,1230,School-High,2306
-121.779266208842,47.4940441524869,226,594,903935,660,North Bend Elementary School,North Bend,400 E 3rd St,98045,-121.77926792,47.49404147,10,SNOQUALMIE VALLEY,1023089192,102308,9192,School-Elementary,2287
-122.211888511058,47.4817460779655,227,683,12193,662,Renton High School,Renton,400 S 2nd St,98057,-122.21189082,47.48174404,10,RENTON,0007200060,000720,0060,School-High,2475
-122.305312281419,47.655257071446,228,1346,13871,663,University of Washington-HUB,UW-HUB,4001 E Stevens Way NE,98195,-122.30531381,47.65525523,10,SEATTLE,1625049001,162504,9001,School-College or University,0
-122.305308302219,47.6552598648592,229,2746,13871,663,University of Washington,UW,4001 E Stevens Way NE,98195,-122.30530983,47.65525802,10,SEATTLE,1625049001,162504,9001,School-College or University,0
-122.325314903306,47.7079776758456,230,6600228,839232,664,Middle College High School at Northgate Mall,Middle College at Northgate,401 NE Northgate Way,98125,-122.3253162,47.70797589,10,SEATTLE,2926049285,292604,9285,School-Alternative,1547
-122.328621302922,47.4665363379499,231,6600612,755358,665,Highline Performing Arts Center,Highline Arts,401 S 152nd St,98148,-122.32862371,47.46653449,10,HIGHLINE,2023049020,202304,9020,School-Other Facility,0
-122.234563995281,47.3086167156597,232,17,39,662,West Auburn High School,West Auburn,401 W Main St,98001,-122.23456728,47.30861474,10,AUBURN,4463400005,446340,0005,School-High,2702
-122.282828219771,47.3603115416987,233,438,680003,660,Star Lake Elementary School,Star Lake,4014 S 270th St,98032,-122.28283122,47.36030966,10,FEDERAL WAY,2722049112,272204,9112,School-Elementary,3160
-122.390220252447,47.6565903231688,234,1376,429769,660,Lawton Elementary School,Lawton,4017 26th Ave W,98199,-122.39022178,47.65658863,10,SEATTLE,0369000400,036900,0400,School-Elementary,2183
-122.340653568292,47.4856562618972,235,1197,149,660,Hazel Valley Elementary School,Hazel Valley,402 SW 132nd St,98146,-122.34065587,47.48565443,10,HIGHLINE,1823049087,182304,9087,School-Elementary,2699
-122.223237614328,47.5737231067929,236,6600383,9273,660,Northwood Elementary School,Northwood,4030 86th Ave SE,98040,-122.22323949,47.57372111,10,MERCER ISLAND,1824059006,182405,9006,School-Elementary,0
-122.284608624681,47.7070745755808,237,1086,273294,660,John Rogers Elementary School,John Rogers ,4030 NE 109th St,98125,-122.28460993,47.7070727,10,SEATTLE,2726049114,272604,9114,School-Elementary,2975
-122.284815613716,47.334218228774,238,5,17,660,Camelot Elementary School,Camelot,4041 S 298th St,98001,-122.28481876,47.33421635,10,FEDERAL WAY,0321049061,032104,9061,School-Elementary,3547
-122.283385029217,47.5659059123959,239,2327,474750,660,Hawthorne Elementary School,Hawthorne,4100 39th Ave S,98118,-122.28338696,47.56590402,10,SEATTLE,7950302375,795030,2375,School-Elementary,4248
-122.384546131692,47.5650395283265,240,436,464131,662,St. Christopher Academy,St. Christopher,4100 SW Genesee St,98116,-122.38454806,47.56503777,20,SEATTLE,0952002655,095200,2655,School-High,0
-122.384546050051,47.5650367873974,241,1000,464131,662,Seattle Lutheran High School,Seattle Lutheran,4100 SW Genesee St,98116,-122.38454798,47.56503503,20,SEATTLE,0952002655,095200,2655,School-High,0
-122.22375184257,47.5726474642545,242,6600342,194254,665,Mot Office Building,Mot,4120 86th Ave SE,98040,-122.22375373,47.57264546,10,MERCER ISLAND,1824059045,182405,9045,School-Other Facility,0
-122.23110696925,47.5716332521604,243,559,192040,660,West Mercer Elementary School,West Mercer,4141 81st Ave SE,98040,-122.23110886,47.57163127,10,MERCER ISLAND,9365700100,936570,0100,School-Elementary,3433
-122.38501931325,47.5654196991079,244,994,470501,660,Holy Rosary School,Holy Rosary,4142 42nd Ave SW,98116,-122.38502124,47.56541795,20,SEATTLE,0952002500,095200,2500,School-Elementary,0
-122.353527795743,47.71391706782,245,1130,12392,660,Christ the King School,Christ the King,415 N 117th St,98133,-122.35352907,47.71391534,20,SEATTLE,6140100225,614010,0225,School-Elementary,0
-122.223474130476,47.5713511807685,246,6600344,192046,665,Administration Center-Mercer Island,Admin,4160 86th Ave SE,98040,-122.22347602,47.57134918,10,MERCER ISLAND,1824059005,182405,9005,School-Other Facility,0
-122.235136941811,47.3844925724069,247,6600671,891662,663,Green River College - Kent Campus,GRC,417 Ramsay Way ,98032,-122.2351398,47.38449059,10,KENT,7142000000,714200,0000,School-College or University,0
-121.987510185728,47.2231053067208,248,6600382,392659,661,Thunder Mountain Middle School,Thunder Mountain,42018 264th Ave SE,98022,-121.98751297,47.22310338,10,ENUMCLAW,1320069010,132006,9010,School-Junior High/Middle,4550
-122.279108990448,47.5506601465138,249,1041,481274,660,St. Edward School,St. Edward,4212 S Mead St,98118,-122.27911099,47.55065824,20,SEATTLE,3330501325,333050,1325,School-Elementary,0
-122.037559367894,47.646722702149,250,654,12138,660,Louisa May Alcott School,Louisa May Alcott,4213 228th Ave NE,98053,-122.03756079,47.64672037,10,LAKE WASHINGTON,1625069113,162506,9113,School-Elementary,0
-122.279995567493,47.4746604892126,251,1272,21155,662,Foster High School,Foster,4242 S 144th St,98168,-122.27999793,47.47465858,10,TUKWILA,1523049108,152304,9108,School-High,2848
-122.278973669212,47.3442298544907,252,15,27,662,Thomas Jefferson High School,Thomas Jefferson,4248 S 288th St,98001,-122.27897676,47.34422796,10,FEDERAL WAY,3422049027,342204,9027,School-High,3584
-122.137869768567,47.5701665423296,253,174,97,660,Eastgate Elementary School,Eastgate,4255 153rd Ave SE,98006,-122.13787162,47.57016436,10,BELLEVUE,2203500575,220350,0575,School-Elementary,3036
-122.20102984508,47.6900551514736,254,467,8626,661,Kirkland Middle School,Kirkland,430 18th Ave,98033,-122.20103118,47.69005313,10,LAKE WASHINGTON,1245000676,124500,0676,School-Junior High/Middle,2308
-122.037758969783,47.6486837358169,255,6600691,1008082,664,Tesla STEM High School,Tesla STEM,4301 228th Ave NE,98053,-122.03776038,47.6486814,10,LAKE WASHINGTON,1625069020,162506,9020,School-Alternative,
-122.222444775778,47.568912468715,256,556,9279,660,St. Monica Catholic School,St. Monica,4320 87th Ave SE,98040,-122.22244668,47.56891047,20,MERCER ISLAND,3622500126,362250,0126,School-Elementary,0
-122.388497409094,47.5402522408923,257,1164,483969,660,Gatewood Elementary School,Gatewood,4320 SW Myrtle St,98136,-122.38849945,47.54025048,10,SEATTLE,4315700020,431570,0020,School-Elementary,2139
-122.328025098318,47.436971658653,258,6600459,132,664,Big Picture Schools,Big Picture,440 S 186th St,98148,-122.32802767,47.43696982,20,HIGHLINE,3223049094,322304,9094,School-Alternative,0
-122.278121386312,47.3268128477864,259,10,20,661,Kilo Middle School,Kilo,4400 S 308th St,98001,-122.27812457,47.32681096,10,FEDERAL WAY,1021049002,102104,9002,School-Junior High/Middle,3701
-122.388242993163,47.3159756472916,260,331,2379,660,Twin Lakes Elementary School,Twin Lakes,4400 SW 320th St,98023,-122.38824624,47.31597397,10,FEDERAL WAY,1121039098,112103,9098,School-Elementary,3628
-122.276642984027,47.4683774443837,261,1335,21159,660,Thorndyke Elementary School,Thorndyke,4415 S 150th St,98188,-122.27664538,47.46837553,10,TUKWILA,0042000280,004200,0280,School-Elementary,3635
-122.385069119183,47.5634200660394,262,6600655,833797,660,Hope Lutheran School,Hope Lutheran,4456 42nd Ave SW,98116,-122.38507106,47.56341831,20,SEATTLE,0952005960,095200,5960,School-Elementary,0
-122.277847917251,47.6621976848221,263,876,345476,660,Laurelhurst Elementary School,Laurelhurst,4530 46th Ave NE,98105,-122.27784942,47.66219579,10,SEATTLE,5364200330,536420,0330,School-Elementary,2437
-121.733821804751,47.4694753536614,264,6600547,24368,665,Camp Waskowitz,Camp Waskowitz,45505 SE 150th St,98045,-121.73382325,47.46947301,10,SNOQUALMIE VALLEY,2423089040,242308,9040,School-Other Facility,0
